kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
18,12,28,0,0,0,1,100
37,40,67,0,0,0,0,100
33,43,53,0,0,0,0,100
29,17,41,0,0,0,1,100
25,11,21,0,0,0,1,100
34,34,60,0,0,0,1,100
26,36,48,0,0,0,0,100
20,17,45,0,0,0,1,100
30,14,44,0,0,0,1,100
14,26,24,0,0,0,0,100
26,21,52,0,0,0,1,100
8,29,7,0,0,0,0,100
31,45,55,0,0,0,0,100
20,15,40,0,0,0,1,100
17,25,22,0,0,0,0,100
34,27,47,0,0,0,1,100
26,18,38,0,0,0,1,100
11,6,13,0,0,0,1,100
16,33,16,0,0,0,0,100
15,8,22,0,0,0,1,100
21,21,28,0,0,0,0,100
18,40,20,0,0,0,0,100
27,31,35,0,0,0,0,100
13,22,18,0,0,0,0,100
9,30,10,0,0,0,0,100
26,41,47,0,0,0,0,100
38,36,68,0,0,0,0,100
19,30,32,0,0,0,0,100
25,20,46,0,0,0,1,100
16,25,20,0,0,0,0,100
27,9,28,0,0,0,1,100
29,25,43,0,0,0,0,100
15,39,18,0,0,0,0,100
39,31,88,0,0,0,1,100
37,11,39,0,0,0,1,100
32,29,60,0,0,0,0,100
24,17,56,0,0,0,1,100
25,13,37,0,0,0,1,100
19,7,21,0,0,0,1,100
18,8,34,0,0,0,1,100
22,6,36,0,0,0,1,100
24,6,31,0,0,0,1,100
26,5,36,0,0,0,1,100
27,16,31,0,0,0,1,100
32,40,61,0,0,0,0,100
9,24,11,0,0,0,0,100
4,3,3,0,0,0,0,100
24,15,29,0,0,0,1,100
15,20,12,0,0,0,0,100
23,17,34,0,0,0,1,100
20,5,25,0,0,0,1,100
27,19,41,0,0,0,1,100
16,30,20,0,0,0,0,100
32,21,61,0,0,0,1,100
26,33,54,0,0,0,0,100
27,33,53,0,0,0,0,100
27,39,49,0,0,0,0,100
16,38,22,0,0,0,0,100
22,48,35,0,0,0,0,100
21,20,35,0,0,0,0,100
6,13,6,0,0,0,0,100
34,26,67,0,0,0,1,100
9,33,12,0,0,0,0,100
36,15,36,0,0,0,1,100
40,27,72,0,0,0,1,100
36,15,35,0,0,0,1,100
32,18,33,0,0,0,1,100
40,20,62,0,0,0,1,100
11,26,14,0,0,0,0,100
1,0,0,0,0,0,1,100
24,12,24,0,0,0,1,100
40,40,70,0,0,0,1,100
25,39,51,0,0,0,0,100
39,21,69,0,0,0,1,100
9,19,11,0,0,0,0,100
9,21,14,0,0,0,0,100
47,26,95,0,0,0,1,100
24,52,39,0,0,0,0,100
14,29,20,0,0,0,0,100
22,32,31,0,0,0,0,100
50,43,108,0,0,0,1,100
48,29,100,0,0,0,1,100
23,34,36,0,0,0,0,100
30,19,40,0,0,0,1,100
25,16,23,0,0,0,1,100
54,45,113,0,0,0,1,100
26,39,42,0,0,0,0,100
39,32,64,0,0,0,1,100
19,43,33,0,0,0,0,100
42,16,76,0,0,0,1,100
44,62,109,0,0,0,0,100
38,43,56,0,0,0,0,100
30,15,52,0,0,0,1,100
40,23,68,0,0,0,1,100
19,24,27,0,0,0,0,100
18,7,18,0,0,0,1,100
15,30,22,0,0,0,0,100
15,23,25,0,0,0,0,100
37,39,82,0,0,0,0,100
52,52,137,0,0,0,1,100
15,27,38,0,0,0,0,100
9,28,10,0,0,0,0,100
42,23,67,0,0,0,1,100
44,32,73,0,0,0,1,100
17,34,23,0,0,0,0,100
36,22,67,0,0,0,1,100
48,34,73,0,0,0,1,100
23,11,40,0,0,0,1,100
9,40,18,0,0,0,0,100
33,17,69,0,0,0,1,100
46,22,90,0,0,0,1,100
30,28,41,0,0,0,0,100
21,16,28,0,0,0,1,100
44,29,81,0,0,0,1,100
34,19,80,0,0,0,1,100
5,23,5,0,0,0,0,100
23,9,31,0,0,0,1,100
25,11,58,0,0,0,1,100
7,38,8,0,0,0,0,100
15,24,24,0,0,0,0,100
30,39,41,0,0,0,0,100
29,41,40,0,0,0,0,100
23,40,33,0,0,0,0,100
16,25,15,0,0,0,0,100
41,30,66,0,0,0,1,100
30,19,52,0,0,0,1,100
39,20,55,0,0,0,1,100
34,20,43,0,0,0,1,100
21,12,32,0,0,0,1,100
33,25,55,0,0,0,0,100
6,22,7,0,0,0,0,100
38,41,53,0,0,0,0,100
7,10,8,0,0,0,0,100
32,16,42,0,0,0,1,100
27,50,30,0,0,0,0,100
31,33,50,0,0,0,1,100
30,16,39,0,0,0,1,100
25,33,48,0,0,0,0,100
19,9,27,0,0,0,1,100
8,23,8,0,0,0,0,100
32,19,68,0,0,0,1,100
31,37,64,0,0,0,1,100
7,14,2,0,0,0,0,100
22,54,28,0,0,0,0,100
35,24,81,0,0,0,1,100
21,9,42,0,0,0,1,100
3,1,5,0,0,0,1,100
19,13,48,0,0,0,1,100
38,18,51,0,0,0,1,100
16,33,24,0,0,0,0,100
31,12,42,0,0,0,1,100
19,40,33,0,0,0,0,100
20,10,26,0,0,0,1,100
23,34,32,0,0,0,0,100
24,9,30,0,0,0,1,100
29,37,45,0,0,0,0,100
12,22,12,0,0,0,0,100
19,9,29,0,0,0,1,100
27,19,52,0,0,0,1,100
24,12,33,0,0,0,1,100
41,22,78,0,0,0,1,100
32,11,53,0,0,0,1,100
14,28,27,0,0,0,0,100
32,29,54,0,0,0,0,100
33,16,64,0,0,0,1,100
17,23,28,0,0,0,0,100
26,10,34,0,0,0,1,100
10,26,10,0,0,0,0,100
14,23,25,0,0,0,0,100
20,7,18,0,0,0,1,100
23,9,26,0,0,0,1,100
40,22,78,0,0,0,1,100
17,36,23,0,0,0,0,100
16,9,38,0,0,0,1,100
24,32,54,0,0,0,0,100
14,8,17,0,0,0,1,100
19,10,32,0,0,0,1,100
14,21,22,0,0,0,0,100
11,20,14,0,0,0,0,100
0,1,0,0,0,0,0,100
37,23,63,0,0,0,1,100
20,11,26,0,0,0,1,100
20,43,32,0,0,0,0,100
9,17,11,0,0,0,0,100
20,12,36,0,0,0,1,100
33,18,56,0,0,0,1,100
23,11,29,0,0,0,1,100
27,6,29,0,0,0,1,100
31,23,59,0,0,0,1,100
30,21,61,0,0,0,1,100
27,19,42,0,0,0,1,100
16,5,22,0,0,0,1,100
23,6,25,0,0,0,1,100
8,25,8,0,0,0,0,100
5,17,5,0,0,0,0,100
15,30,22,0,0,0,0,100
6,22,8,0,0,0,0,100
6,18,8,0,0,0,0,100
23,14,34,0,0,0,1,100
6,24,6,0,0,0,0,100
27,38,41,0,0,0,0,100
33,28,54,0,0,0,1,100
20,31,37,0,0,0,0,100
28,4,38,0,0,0,1,100
25,17,51,0,0,0,1,100
30,14,47,0,0,0,1,100
24,10,31,0,0,0,1,100
27,13,58,0,0,0,1,100
36,23,51,0,0,0,1,100
24,13,47,0,0,0,1,100
28,21,44,0,0,0,1,100
39,35,70,0,0,0,1,100
31,21,51,0,0,0,1,100
29,13,32,0,0,0,1,100
3,13,2,0,0,0,0,100
24,30,40,0,0,0,0,100
20,30,43,0,0,0,0,100
32,32,60,0,0,0,1,100
17,5,15,0,0,0,1,100
22,10,33,0,0,0,1,100
9,24,12,0,0,0,0,100
14,31,20,0,0,0,0,100
