,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore
232,200,Win,False,True,False,False,True,True,3,0,0,1,0,1,0
233,200,Fail,True,True,True,False,False,False,3,2,0,0,0,0,0
234,200,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0
235,200,Fail,False,False,False,False,False,False,2,1,0,0,0,0,0
236,200,Win,True,False,False,False,False,False,4,1,0,0,0,0,0
237,200,Fail,False,True,False,False,False,False,2,0,0,0,0,0,0
238,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
239,200,Fail,False,False,True,False,False,False,2,2,0,0,0,0,0
240,200,Win,False,True,True,False,False,False,3,1,0,0,0,0,0
241,200,Fail,True,False,True,False,False,False,2,2,0,0,0,0,0
242,200,Win,True,True,True,False,False,False,4,2,0,0,0,0,0
243,200,Win,True,True,True,False,False,False,4,1,0,0,0,0,0
244,200,Win,False,True,True,False,False,False,4,3,0,0,0,0,0
245,200,Win,False,True,True,False,False,False,4,2,0,0,0,0,0
246,200,Win,True,True,True,False,False,False,4,1,0,0,0,0,0
247,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
248,200,Fail,True,False,False,False,False,False,1,0,0,0,0,0,0
249,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
250,200,Win,False,False,True,False,False,False,4,1,0,0,0,0,0
251,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0
252,200,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0
253,200,Win,True,True,True,False,False,False,4,2,0,0,0,0,0
254,200,Fail,False,False,False,False,True,False,1,0,0,1,0,0,0
255,200,Win,True,True,False,True,True,True,4,0,1,2,0,1,0
256,200,Fail,False,True,True,True,True,True,5,1,1,3,0,1,0
257,200,Fail,False,False,False,False,False,False,0,0,0,0,0,0,0
258,200,Win,False,True,True,False,False,False,4,2,0,0,0,0,0
259,200,Win,True,True,True,False,False,False,4,3,0,0,0,0,0
260,200,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0
261,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0
262,200,Fail,False,True,False,False,False,False,2,0,0,0,0,0,0
263,200,Fail,True,False,False,False,False,False,1,0,0,0,0,0,0
264,200,Fail,False,False,False,False,False,False,1,0,0,0,0,0,0
265,200,Win,True,True,True,False,False,False,4,2,0,0,0,0,0
266,200,Fail,False,False,True,False,False,False,2,1,0,0,0,0,0
267,200,Win,False,True,True,False,False,False,3,1,0,0,0,0,0
268,200,Win,True,False,True,False,False,False,4,3,0,0,0,0,0
269,200,Win,True,True,True,False,False,False,4,1,0,0,0,0,0
270,200,Fail,False,True,True,False,False,False,3,1,0,0,0,0,0
271,200,Win,True,True,True,False,False,False,4,2,0,0,0,0,0
272,200,Win,False,False,False,False,False,False,4,1,0,0,0,0,0
273,200,Win,True,True,True,False,False,False,4,1,0,0,0,0,0
274,200,Win,True,True,False,True,True,False,4,0,1,2,0,1,0
275,200,Win,True,True,False,True,True,True,7,1,1,3,0,1,0
