assists,champLevel,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,inhibitorKills,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,teamId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
2,12,12481,12481,8562,1,0,0,1,1,0,0,0,9469,7908,0,2,8,0,5,1,520,155,155,891,9,4,1,10,200,0,81882,9859,9222,0,17,93630,12770,11833,2113,134,140,1,0,11592,2754,1719,4,7,1,0,4,1
19,15,10848,7655,45430,4,0,0,0,1,0,0,0,10693,10125,0,1,3,13,2,1,424,87805,15975,8168,1,1,0,1,100,0,23947,3418,20650,0,76,113232,19394,32508,14816,148,541,1,0,1480,0,3689,5,16,1,2,9,1
24,14,26781,747,22359,9,2,0,1,1,0,0,0,12386,11525,0,2,11,0,6,3,244,11484,1204,7286,93,2,59,2,100,0,95294,15222,15554,0,23,115531,17338,25588,8217,23,294,1,1,8752,912,2747,1,28,4,5,9,1
17,15,9777,2765,10519,4,2,0,0,0,1,0,0,13357,13340,1,2,10,0,5,2,779,18022,5647,4325,27,6,13,3,100,0,108685,18328,10131,0,4,128713,24272,18386,2929,168,128,2,0,2005,295,3929,0,11,0,3,7,1
21,12,1030,686,23170,6,0,0,0,1,0,0,0,6982,6300,0,0,0,0,0,0,627,107,90,8192,0,0,0,4,100,0,16546,5170,12037,0,22,27126,9596,22217,1771,45,85,1,0,10472,4335,1987,0,54,16,9,32,1
9,16,6765,4986,21311,4,3,0,0,0,0,0,0,16734,15800,0,2,23,0,13,4,697,118409,29041,8171,18,0,13,5,100,0,22351,4296,15327,1,22,144897,33940,25959,7884,174,190,1,3,4136,603,2460,2,20,4,3,6,1
8,15,10140,1452,16659,7,0,0,0,0,0,0,0,13414,12150,0,1,8,371,2,1,556,3644,2411,7472,32,4,21,6,200,0,166110,25138,13024,0,23,180158,28280,22552,1461,213,435,1,0,10404,731,2055,1,39,4,7,10,0
13,11,1211,1077,15276,10,0,0,0,0,0,0,0,6136,5670,0,0,0,0,0,0,560,12346,5629,9561,0,0,0,7,200,0,8275,1304,11512,0,36,24676,6954,22254,259,28,127,1,0,4053,19,1180,0,56,8,4,30,0
11,13,1004,0,13797,7,0,0,0,0,0,0,0,9125,8950,0,1,5,0,2,1,459,80960,14606,10419,74,3,65,8,200,0,13341,1670,13514,0,4,100532,17320,25130,14106,32,108,5,0,6230,1044,1196,0,36,4,7,11,0
6,14,435,407,22486,10,0,0,0,0,0,0,0,12172,11508,0,3,9,0,3,1,247,700,700,12124,3,0,3,9,200,0,96256,16774,15658,0,27,114754,26452,28630,4241,162,244,1,0,17797,8977,848,0,20,3,2,9,0
6,12,241,241,26452,13,0,0,0,0,0,0,0,9034,8275,0,0,5,0,0,1,220,79531,10599,12642,3,1,2,10,200,0,4071,246,13666,0,26,85261,10868,27174,1132,141,68,1,0,1659,22,864,0,18,3,2,9,0
