blueteamwin,bluecreepsPerMin,bluegoldPerMinDeltas,bluexpPerMin,bluecsDiffPerMin,bluexpDiffPerMin,redteamwin,redcreepsPerMin,redgoldPerMin,redxpPerMin,redcsDiffPerMin,redxpDiffPerMin
1.00,7.00,282.50,431.20,0.36,77.00,0.00,1.50,175.40,262.20,-0.36,-77.00
1.00,1.30,269.30,297.40,0.36,77.00,0.00,5.70,262.90,219.20,-0.36,-77.00
1.00,5.70,334.20,463.30,0.36,77.00,0.00,0.50,265.10,272.40,-0.36,-77.00
1.00,6.70,377.40,355.60,0.36,77.00,0.00,6.30,339.90,402.30,-0.36,-77.00
1.00,1.70,395.00,383.90,0.36,77.00,0.00,6.60,266.00,390.30,-0.36,-77.00
0.00,1.30,270.40,275.30,0.70,32.50,1.00,8.70,302.50,498.10,0.00,0.00
0.00,9.10,287.30,468.70,0.00,0.00,1.00,0.80,254.60,292.30,-0.70,-32.50
0.00,6.80,354.60,318.10,0.70,32.50,1.00,0.90,348.20,358.70,0.70,46.10
0.00,6.50,226.90,418.70,0.00,0.00,1.00,5.90,214.90,236.10,-0.70,-32.50
0.00,0.20,278.50,312.60,-0.70,-46.10,1.00,8.40,355.80,489.20,0.00,0.00
0.00,6.60,273.50,381.80,0.60,-33.84,1.00,8.10,312.80,361.70,-0.60,33.84
0.00,7.90,344.00,438.30,0.60,-33.84,1.00,5.40,336.30,485.80,-0.60,33.84
0.00,6.80,236.80,411.90,0.60,-33.84,1.00,1.20,213.90,310.10,-0.60,33.84
0.00,1.00,363.50,273.70,0.60,-33.84,1.00,3.60,325.60,391.90,-0.60,33.84
0.00,0.40,235.30,286.60,0.60,-33.84,1.00,1.40,438.80,412.00,-0.60,33.84
1.00,7.80,263.00,333.90,-0.60,-26.90,0.00,9.10,313.10,370.30,0.60,26.90
1.00,0.20,351.50,368.40,-1.70,-217.00,0.00,0.40,211.50,294.90,0.60,26.90
1.00,8.50,369.00,504.50,0.00,0.00,0.00,1.90,516.00,585.40,1.70,217.00
1.00,5.70,407.00,447.80,0.00,0.00,0.00,4.20,334.90,387.70,0.00,0.00
1.00,0.50,184.80,277.50,-0.60,-26.90,0.00,6.80,244.10,403.40,0.00,0.00
1.00,1.40,186.00,252.70,-0.25,14.30,0.00,1.20,158.30,262.10,0.25,-14.30
1.00,8.20,278.70,428.80,0.00,0.00,0.00,8.70,275.10,306.60,0.25,-14.30
1.00,0.10,292.00,299.10,-0.20,-75.40,0.00,0.30,371.90,374.50,0.20,75.40
1.00,7.60,291.80,450.80,0.00,0.00,0.00,6.20,287.80,397.70,0.00,0.00
1.00,8.00,287.60,344.60,-0.25,14.30,0.00,7.70,288.50,473.80,0.00,0.00
0.00,6.90,325.60,534.40,0.00,0.00,1.00,8.10,304.80,471.30,0.00,0.00
0.00,6.80,289.40,275.40,0.00,0.00,1.00,0.30,260.80,321.20,0.00,0.00
0.00,7.60,276.60,499.00,0.00,0.00,1.00,8.20,374.10,336.90,0.00,0.00
0.00,1.80,191.90,255.60,0.00,0.00,1.00,8.70,363.70,482.40,0.00,0.00
0.00,0.40,289.10,304.60,0.00,0.00,1.00,1.70,182.80,292.90,0.00,0.00
1.00,6.10,318.60,402.60,-0.10,33.90,0.00,1.40,265.20,234.20,-0.90,-21.00
1.00,8.10,347.50,338.70,0.90,21.00,0.00,0.80,258.10,224.70,0.70,-161.20
1.00,0.10,452.10,385.90,-0.70,161.20,0.00,6.20,288.60,289.90,-0.90,-21.00
1.00,1.30,218.20,227.40,0.90,21.00,0.00,7.00,285.00,382.40,-1.40,-74.00
1.00,8.40,364.60,456.40,1.40,74.00,0.00,6.20,306.50,368.70,0.10,-33.90
1.00,0.80,297.10,270.60,0.38,38.76,0.00,9.80,381.90,500.50,-0.38,-38.76
