teamid,win,csPerMin,goldPerMin,xpPerMin,csDiffPerMin,xpDiffperMin,,
100,1,0,0,0,0,0,,
100,0,2.4,543.3,734.66,0.18,21.12,,
100,1,2.5,571.4,816.6,0.32,91.92,,
100,1,2.56,593.5,815.4,0.5,148.44,,
100,0,2.18,467.78,664.96,-0.34,-28.22,,
100,1,4.56,298.8,388.88,0.14,51.98,,
100,0,5,271.4,373.36,0.8,26.56,,
100,1,5.02,263.32,339.58,0.56,20.88,,
100,1,0,0,0,0,0,,
100,0,2.24,499.52,703.64,0,0,,
100,0,2.24,501.3,695.86,0.06,-5.12,,
100,1,2.24,557.02,749.6,0,0,,
100,1,1.94,541.1,765.16,0,79.5,,
100,1,2.4,544.04,774.96,0,0,,
100,1,2.32,544.88,746.36,0.02,27.3,,
100,1,2.4,550.84,754.16,0.36,105.26,,
100,0,2.24,482.04,633,-0.18,-46.26,,
100,1,2.14,540.74,753.16,-0.08,49.08,,
100,0,2.3,467.28,643.42,0.24,-17.92,,
100,0,2.46,507.08,711.84,0,0,,
100,0,1.9,470.06,654.08,-0.62,-51.24,,
100,1,2.18,525.32,700.44,-0.24,-72.36,,
100,0,2.04,518.26,735.1,-0.32,-8.38,,
100,0,2.42,543.2,736.44,0,0,,
100,0,2.38,502.3,710.34,0.12,-58.28,,
100,0,4.68,274.4,379.94,-0.4,5.12,,
100,0,4.24,263.08,331.32,-0.04,-26.86,,
100,0,4.36,233.08,318.18,-0.24,-57,,
100,1,2.26,530.56,753.72,0,0,,
100,0,1.86,509.26,725.78,0,0,,
100,0,4.12,229.28,316.42,0.02,-30.68,,
100,1,2.02,571.16,764.56,-0.06,5.18,,
100,0,1.96,489.58,702.46,-0.56,-44.18,,
100,0,2.08,517.96,723.82,-0.26,-48.1,,
100,0,1.64,439.3,647.58,-0.78,-27.68,,
100,1,2.4,497.64,676.14,0.26,-3.5,,
100,0,2.34,476.02,658.52,0,-17.96,,
100,1,2.26,563.22,751.82,0.38,58.2,,
100,0,2.26,503.34,696.7,-0.02,-136.32,,
